#1.2																																																																																																																																														
661	141																																																																																																																																													
symbol	symbol	DLBCL_NEW_225	DLBCL_NEW_453	DLBCL_NEW_418	DLBCL_NEW_426	DLBCL_NEW_412	DLBCL_NEW_417	DLBCL_NEW_407	DLBCL_NEW_408	DLBCL_NEW_312	DLBCL_NEW_405	DLBCL_NEW_305	DLBCL_NEW_310	DLBCL_NEW_293	DLBCL_NEW_289	DLBCL_NEW_290	DLBCL_NEW_271	DLBCL_NEW_288	DLBCL_NEW_244	DLBCL_NEW_262	DLBCL_NEW_211	DLBCL_NEW_243	DLBCL_NEW_617	DLBCL_NEW_209	DLBCL_NEW_210	DLBCL_NEW_504	DLBCL_NEW_512	DLBCL_NEW_501	DLBCL_NEW_502	DLBCL_NEW_497	DLBCL_NEW_498	DLBCL_NEW_495	DLBCL_NEW_496	DLBCL_NEW_492	DLBCL_NEW_494	DLBCL_NEW_486	DLBCL_NEW_491	DLBCL_NEW_473	DLBCL_NEW_484	DLBCL_NEW_471	DLBCL_NEW_472	DLBCL_NEW_464	DLBCL_NEW_466	DLBCL_NEW_443	DLBCL_NEW_429	DLBCL_NEW_219	DLBCL_NEW_470	DLBCL_NEW_411	DLBCL_NEW_507	DLBCL_NEW_311	DLBCL_NEW_474	DLBCL_NEW_455	DLBCL_NEW_467	DLBCL_NEW_284	DLBCL_NEW_442	DLBCL_NEW_447	DLBCL_NEW_304	DLBCL_NEW_423	DLBCL_NEW_433	DLBCL_NEW_419	DLBCL_NEW_359	DLBCL_NEW_414	DLBCL_NEW_347	DLBCL_NEW_357	DLBCL_NEW_344	DLBCL_NEW_345	DLBCL_NEW_339	DLBCL_NEW_340	DLBCL_NEW_301	DLBCL_NEW_333	DLBCL_NEW_270	DLBCL_NEW_277	DLBCL_NEW_267	DLBCL_NEW_269	DLBCL_NEW_250	DLBCL_NEW_261	DLBCL_NEW_205	DLBCL_NEW_217	DLBCL_NEW_462	DLBCL_NEW_463	DLBCL_NEW_445	DLBCL_NEW_460	DLBCL_NEW_215	DLBCL_NEW_448	DLBCL_NEW_291	DLBCL_NEW_313	DLBCL_NEW_285	DLBCL_NEW_283	DLBCL_NEW_232	DLBCL_NEW_251	DLBCL_NEW_506	DLBCL_NEW_206	DLBCL_NEW_230	DLBCL_NEW_450	DLBCL_NEW_465	DLBCL_NEW_437	DLBCL_NEW_242	DLBCL_NEW_268	DLBCL_NEW_286	DLBCL_NEW_432	DLBCL_NEW_303	DLBCL_NEW_458	DLBCL_NEW_514	DLBCL_NEW_349	DLBCL_NEW_353	DLBCL_NEW_338	DLBCL_NEW_346	DLBCL_NEW_295	DLBCL_NEW_336	DLBCL_NEW_249	DLBCL_NEW_280	DLBCL_NEW_513	DLBCL_NEW_239	DLBCL_NEW_246	DLBCL_NEW_483	DLBCL_NEW_490	DLBCL_NEW_478	DLBCL_NEW_479	DLBCL_NEW_438	DLBCL_NEW_468	DLBCL_NEW_428	DLBCL_NEW_434	DLBCL_NEW_401	DLBCL_NEW_416	DLBCL_NEW_449	DLBCL_NEW_482	DLBCL_NEW_476	DLBCL_NEW_430	DLBCL_NEW_456	DLBCL_NEW_292	DLBCL_NEW_245	DLBCL_NEW_254	DLBCL_NEW_446	DLBCL_NEW_240	DLBCL_NEW_402	DLBCL_NEW_413	DLBCL_NEW_424	DLBCL_NEW_348	DLBCL_NEW_361	DLBCL_NEW_307	DLBCL_NEW_435	DLBCL_NEW_282
A2M	A2M	310.54	144.26	278.42	118.98	273.85	184.37	214.64	59.35	133.35	77.95	119.33	91.13	98.67	201.53	291.14	79.74	74.61	81.08	90.43	76.82	316.3	141.83	94.95	139.02	131.84	157.94	131.45	104.8	261.63	129.76	189.41	145.25	68.46	134.03	242.83	113.82	358.63	167.07	66.3	100.34	206.41	101.4	128.49	164.04	126.85	236.56	104.54	145.07	490.75	147.88	415.58	209.71	232.12	167.96	463.55	203.36	149.75	211.58	199.32	163.05	236.23	134.32	305.76	471.79	128.81	367.9	221.01	526.13	259.19	168.06	328.68	339.74	188.89	169.21	190.91	185.21	139.78	232.12	371.63	206.56	182.18	305.12	133.68	207.16	249.35	345.98	187.35	306	172.55	260.97	201.11	341.99	233.65	287.54	225.46	199.59	196.62	414.58	155.43	196.11	196.89	407.82	225.65	173.6	442.75	665.73	316.17	438.31	340.07	273.76	694.27	382.48	471.83	784.65	1183.26	409.73	333.55	445.55	376.82	937.39	465.86	605.15	461.83	193.09	306.3	189.5	200.39	1194.99	159.2	473.8	334.71	679.69	839.02	593.94	327.39	706.09	458.26	507.93	209.29	504.31	546.55
ABR	ABR	120.49	57.02	61.38	96.9	122.6	84.39	61.93	52.62	50.19	44.72	41.26	76.55	82.13	95.04	82.52	43.87	51.68	57.46	73.42	62.75	93.85	53.07	56.45	49.21	52.81	44.35	65.62	61.13	103.07	39.56	65.3	54.2	73.15	99.02	64.87	39.6	115.4	44.64	47.01	67.21	67.77	100.2	60.65	76.62	71.67	48.95	70.99	92.69	70.02	75.32	145.2	107.37	180.74	62.46	158.14	99.41	74.42	224.01	144.01	210.33	158.86	315.35	143	100.99	162.14	111.04	40.56	135.04	126.27	84.1	88.15	250.32	107.02	173.3	126.21	139.72	119.06	135.44	176.07	165.64	171.53	104.6	114.15	100.15	138.4	136.27	95.85	115.65	81.38	115.32	214.58	87.66	52.05	159.64	130.81	122.79	62.8	76.44	144.03	149.91	122.83	114.2	250.91	94.1	166.34	268.92	131	123.8	182.26	151.18	181.81	146.08	165.4	164.34	177.03	101.86	147.19	121.39	258.13	177.76	140.92	280.43	135.53	130.94	140.23	85.98	129.74	95	118.16	99.89	99.61	106.7	165.89	160.96	236.74	137.93	135.55	167.62	141.05	99.62	98.82
ACP1	ACP1	112.24	147.09	219.47	234.68	176.05	190.94	108.85	187.74	186.33	312.63	203.67	138.13	185.66	187.54	166.98	365.24	210.71	278.66	177.23	155.79	179.61	301.33	243.14	210.38	330.07	192.39	246.44	227.06	243.75	167.08	310.22	269.25	308.78	154.32	159.63	390.7	252.13	174.23	172.32	118.91	273.95	183.84	216.69	156.31	191.93	179.14	228.97	104.67	149.2	184.88	172.59	155.58	166.82	237.07	72.93	195.7	169.43	179.28	139.93	130.86	58.69	216.62	249.03	147.36	143.84	198.46	327.32	133.7	141.19	160.52	176.3	160.64	171.6	178.21	240.28	153.44	170.49	132.13	170.28	146.06	197.56	145.49	136.94	187.48	219.7	186.25	293.87	187.4	198.19	195.93	141.63	235.99	153.79	286.96	94.46	143.71	259.43	150.74	135.81	100.88	178.17	131.07	142.07	159.96	144.81	160.37	158.49	114.71	204.02	128.58	114.27	130.13	154.28	99.27	106.05	165.45	139.74	174.4	121.03	61.33	95.34	85.59	151.9	145.23	218.77	247.19	140.66	136.02	128.12	101.6	202.37	119.79	174.16	105.33	217.83	121.01	173.74	115.19	173.03	193.01	183.1
ACTB	ACTB	1391.89	3241.79	4380.8	4376.86	5478.36	4105.785	3328.825	4278.345	4383.46	3577.155	3645.19	1520.885	3707.645	6334.24	5323.37	4457.805	3351.145	2839.88	6824.025	2996.69	4365.905	4854.145	4585.375	3531.12	3702.61	5012.04	3805.63	4472.805	5393.815	4896.775	4945.485	5317.545	3612.825	3795.555	4322.11	1649.755	4175.55	3848.575	6008.375	5948.675	7392.31	2215.61	3704.87	5112.125	5327.05	4886.505	5590.855	4828.805	5965.735	6649.195	8182.86	8700.64	9111.04	6911.02	6658.865	7881.95	8747.73	6576.345	8503.425	7558.88	14078.815	9588.82	8229.455	9110.53	12036.47	7806.675	12726.105	9817.98	10013.395	9522.995	6723.84	5789.835	5675.67	5104.765	9054.675	5753.485	5256.405	12886.66	9137.325	8483.815	7093.605	5975.97	6279.99	4991.975	6275.81	7795.47	8518.48	6882.595	4909.045	10674.11	5147.535	7127.695	9005.345	13015.825	9683.74	9617.845	13951.7	10018.305	5667.29	8705.465	8483.3	6801.9	13069.46	6888.01	8218.975	8972.445	6848.905	12519.485	6482.62	7951.745	5853.67	10239.2	6181.085	9317.955	7394.31	7992.56	10858.45	5801.725	8446.82	6021.755	7723.595	9554.925	6927.59	10463.245	10054.95	8756.74	8192.595	6867.59	5791.69	5153.64	7446.73	7903.075	5628.125	4375.09	1726.975	6097.575	5515.425	8067.7	9961.015	4645.6	5989.02
ACTN1	ACTN1	115.83	85.87	162.04	72.81	79.15	50.21	124.1	41.67	84.59	20	42.11	28.64	36.5	53.43	76.46	33.63	38.82	31.62	47.4	33.08	143.7	72.63	65.34	87.55	59.28	87.21	73.68	58.96	87.44	28.4	51.42	78.22	58.06	125.1	109.22	62.79	59.28	34.28	46.7	39.01	108.03	40.92	83.07	55.81	136.37	107.04	92.31	113.16	81.32	125.03	67.66	54.12	175.32	128.88	169.83	174.06	78.08	108.21	131.2	75.17	72.76	60.66	54.04	130.41	104.25	275.07	55.92	108.83	83.8	51.89	131.04	97.86	125.1	148.38	122.81	95.67	117.93	68.15	148.63	68.08	105.38	177.85	114.89	173.86	66.87	63.2	58.44	66.29	102.51	174.78	104.49	57.93	88.85	39.77	58.12	76.23	100.37	75.47	130.05	73.62	139.86	121.51	167.85	143.71	155.68	276.66	224.79	147.11	194.94	129.43	208.99	123.42	294.02	183.77	138.03	193.93	130.01	148.42	177.31	275.53	204.6	233.92	152.86	60.24	93.22	108.29	81.41	185.68	100.94	159.07	90.91	169.58	414.6	204.56	213.26	315.2	293.93	352.37	155.49	315.41	352.73
ACTR2	ACTR2	524.27	395.935	610.465	629.525	574.74	315.025	274.15	525.56	634.825	477.055	94.775	219.695	243.05	505.23	762.445	944.47	544.985	925.49	735.135	987.135	450.035	1070.395	429.78	517.6	526.04	414.85	327.225	295.725	427.085	435.035	403.015	446.535	294.575	368.115	302.825	205.76	574.255	278.295	424.955	481.495	534.205	413.29	537.395	734.785	526.985	494.94	448.96	494.105	343.73	708.655	307.31	363.535	413.63	239.825	135.785	597	386.285	455.325	163.03	566.74	230.775	480.115	338.305	685.015	584.025	415.03	548.77	365.97	994.705	642.8	629.375	713.23	617.29	662.07	643.775	294.785	387.005	479.445	414.825	383.74	520.995	552.28	500.815	357.46	939.26	468.71	422.175	615.945	645.515	185.15	727	735.005	171.93	491.715	308.85	523.98	835.655	518.13	548.79	896.01	522.03	396	481.84	717.16	467.495	190.835	530.48	256.34	249.615	481.225	278.49	312.795	303.825	208.1	212.825	224.005	270.185	371.835	193.85	99.84	329.56	166.27	642.105	421.775	493.65	580.975	402.235	365.71	385.905	427.535	377.885	318.355	325.455	124.265	249.455	285.54	664.03	424.035	522.715	143.02	660.92
ADA	ADA	338.87	143.38	341.12	167.29	84.68	143.4	113.68	223.95	159.54	84.95	71.91	144.9	186.65	124.43	444.39	301.32	194.69	52.75	346.71	269.11	143.94	97.6	87.98	111.71	195.86	254.48	85.73	246.97	199.96	190.21	107.2	417.35	394.17	353.54	89.5	137.74	224.12	382.93	125.51	133.73	140.86	115.47	657.02	695.83	252.09	269.58	85.07	373.53	82.4	381.44	216.07	139.15	151.47	620.48	212.13	231.96	49.8	107.34	153.52	171.3	110.35	74.49	146.08	166.38	205.74	344.5	78.26	461.53	130.74	282.71	87.59	138.32	117.83	93.53	65.6	359.23	666.56	150.28	152.14	409.73	459.68	180.65	122.55	124.27	163.29	370	304.99	79.72	684.51	391.06	245.65	146.14	131.4	574.31	142.17	387.22	125.02	179.01	296.88	156.55	226.08	196.52	129.26	160.19	181.87	77.24	133.93	88.13	254.83	182.13	153.93	162.02	116.22	84.66	93.67	148.53	87.68	277.41	124.28	110.8	217.16	235.53	203.7	143.06	192.82	139.36	240.05	130.94	166.69	344.32	261.75	106.28	121.47	150.73	127.83	421.88	106.49	183.54	109.8	297.05	301.15
ADAM19	ADAM19	54.87	94.55	118.19	106.33	65.32	57.56	59.38	37.04	116.09	49.76	66.96	46.35	41.92	137.86	101.81	121.58	92.59	74.57	111.94	60.17	64.02	84.17	72.22	98.26	39.73	101.26	55.61	54.62	77.51	64.12	43.62	109.43	25.7	34.42	98.69	48.66	70.59	105.86	137.81	61.27	69.87	76.95	83.29	69.77	221.98	176.65	87.87	51.13	145.08	93.67	63.84	110.11	117.6	141.04	187.76	379.48	309.39	156.14	226.11	330.05	131.94	214.61	258.4	107.45	145.6	225.18	143.83	79.12	132.81	185.96	170.94	165.16	187.91	202.17	182.4	122.03	224.9	211.52	214.04	99.08	190.65	209.32	174.53	95.75	118.98	79.86	161.96	100.69	110.22	88.59	169.31	204.48	55.11	161.74	69.66	207.18	176.67	20	193.63	364.8	164.79	87.92	106.59	127.54	74.13	133.45	131.29	145.25	249.22	59.74	82.69	77.06	207.23	103.18	79.23	192.02	151.87	213.98	108.91	112.58	47.55	95.01	194.07	91.63	164.36	147.97	120.43	106.68	132.99	37.8	84.39	243.83	151.95	69.08	143.48	205.07	110.18	208.28	228.01	202.71	297.8
ADAM28	ADAM28	22.91	79.785	32.065	47.41	33.78	39.17	74.325	20	36.19	20	20	20	32.245	30.095	96.86	50.6	59.755	20.285	22.385	46	44.23	52.23	20	31.575	21.425	70.39	20	26.515	43.855	20	20	21.94	24.44	55.515	102.445	27.595	22.895	48.615	87.15	24.34	37.21	66.92	57.54	110.13	127.725	185.735	111.17	88.715	21.9	47.25	53.72	148.075	27.195	26.37	20	197.97	49.98	27.745	65.605	122.53	53.78	106.71	31.245	22.415	33.43	88.03	30.635	55.835	20	21.44	20	62.645	57.06	61.205	38.885	39.785	108.38	30.1	32.22	60.73	24.985	124.5	105.93	22.49	253.945	120.4	33.06	29.835	49.015	26.96	29.52	131.345	96.305	20.42	82.82	151.7	28.635	22.97	105.395	56.21	64.455	20	30.42	41.825	32.415	33.225	38.73	41.24	46.34	42.065	25.095	35.03	111.53	20	63.44	77.065	28.005	72.4	35.7	125.465	50.34	38.865	39.765	26.335	20	29.075	22.525	44.23	24.935	43.27	20	82.18	84.795	32.97	53.37	41.68	27.035	34.48	81.505	85.11	104.045
ADD3	ADD3	165.67	887.68	322.14	423.92	313.11	451.24	808.59	357.81	324.45	125.57	196.19	326.26	245.26	153.92	208.74	124.26	301.47	400.54	110.19	466.13	498.4	237.31	190.35	223.02	425.42	462.43	599.05	429.17	295.08	281.39	174.34	261.01	304.02	271.51	714.63	429.48	780.43	401.2	249.04	305.99	422.35	815.4	359.17	424.02	806.17	411.39	486.85	462.91	412.47	314.93	266.22	171.03	166.82	231.56	271.36	346.7	395.44	384.73	324.9	237.52	148.43	130.18	140.82	358.9	224.04	368.78	255.49	324.33	269.3	125.12	305.6	535.21	386.49	569.02	182.51	67.15	754.74	284.28	277.19	755.01	352.92	361.43	320.93	428.47	652.69	231.49	441.86	614.87	256.33	247.4	366.09	566.88	422.7	228.08	199.72	236.27	295.52	231.86	336.67	252.16	659.27	284.99	225.13	304.29	403.28	697.37	547.77	128	253.48	314.47	350.66	313.32	552.34	292.98	209.83	205.38	772.72	448.37	308.11	364.11	506.51	243.54	417.8	295.18	238.69	422.69	249.69	308.11	351.12	183.36	252.72	393.09	500.86	314.02	78.26	363.3	233.23	413.25	491.1	147.49	332.77
